id_x,products,total,discountedTotal,userId,totalProducts,totalQuantity,cart_items,cart_amount,id_y,firstName,lastName,maidenName,age,gender,email,phone,username,password,birthDate,image,bloodGroup,height,weight,eyeColor,ip,macAddress,university,ein,ssn,userAgent,role,hair.color,hair.type,address.address,address.city,address.state,address.stateCode,address.postalCode,address.coordinates.lat,address.coordinates.lng,address.country,bank.cardExpire,bank.cardNumber,bank.cardType,bank.currency,bank.iban,company.department,company.name,company.title,company.address.address,company.address.city,company.address.state,company.address.stateCode,company.address.postalCode,company.address.coordinates.lat,company.address.coordinates.lng,company.address.country,crypto.coin,crypto.wallet,crypto.network,products_from_api
1,"[{'id': 168, 'title': 'Charger SXT RWD', 'price': 32999.99, 'quantity': 3, 'total': 98999.97, 'discountPercentage': 13.39, 'discountedTotal': 85743.87, 'thumbnail': 'https://cdn.dummyjson.com/products/images/vehicle/Charger%20SXT%20RWD/thumbnail.png'}, {'id': 78, 'title': 'Apple MacBook Pro 14 Inch Space Grey', 'price': 1999.99, 'quantity': 2, 'total': 3999.98, 'discountPercentage': 18.52, 'discountedTotal': 3259.18, 'thumbnail': 'https://cdn.dummyjson.com/products/images/laptops/Apple%20MacBook%20Pro%2014%20Inch%20Space%20Grey/thumbnail.png'}, {'id': 183, 'title': 'Green Oval Earring', 'price': 24.99, 'quantity': 5, 'total': 124.94999999999999, 'discountPercentage': 6.28, 'discountedTotal': 117.1, 'thumbnail': 'https://cdn.dummyjson.com/products/images/womens-jewellery/Green%20Oval%20Earring/thumbnail.png'}, {'id': 100, 'title': 'Apple Airpods', 'price': 129.99, 'quantity': 5, 'total': 649.95, 'discountPercentage': 12.84, 'discountedTotal': 566.5, 'thumbnail': 'https://cdn.dummyjson.com/products/images/mobile-accessories/Apple%20Airpods/thumbnail.png'}]",103774.85,89686.65,33,4,15,15.0,103774.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
2,"[{'id': 144, 'title': 'Cricket Helmet', 'price': 44.99, 'quantity': 4, 'total': 179.96, 'discountPercentage': 11.47, 'discountedTotal': 159.32, 'thumbnail': 'https://cdn.dummyjson.com/products/images/sports-accessories/Cricket%20Helmet/thumbnail.png'}, {'id': 124, 'title': 'iPhone X', 'price': 899.99, 'quantity': 4, 'total': 3599.96, 'discountPercentage': 8.03, 'discountedTotal': 3310.88, 'thumbnail': 'https://cdn.dummyjson.com/products/images/smartphones/iPhone%20X/thumbnail.png'}, {'id': 148, 'title': 'Golf Ball', 'price': 9.99, 'quantity': 4, 'total': 39.96, 'discountPercentage': 11.24, 'discountedTotal': 35.47, 'thumbnail': 'https://cdn.dummyjson.com/products/images/sports-accessories/Golf%20Ball/thumbnail.png'}, {'id': 122, 'title': 'iPhone 6', 'price': 299.99, 'quantity': 3, 'total': 899.97, 'discountPercentage': 19.64, 'discountedTotal': 723.22, 'thumbnail': 'https://cdn.dummyjson.com/products/images/smartphones/iPhone%206/thumbnail.png'}, {'id': 110, 'title': 'Selfie Lamp with iPhone', 'price': 14.99, 'quantity': 5, 'total': 74.95, 'discountPercentage': 19.87, 'discountedTotal': 60.06, 'thumbnail': 'https://cdn.dummyjson.com/products/images/mobile-accessories/Selfie%20Lamp%20with%20iPhone/thumbnail.png'}]",4794.8,4288.95,142,5,20,20.0,4794.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
3,"[{'id': 98, 'title': 'Rolex Submariner Watch', 'price': 13999.99, 'quantity': 1, 'total': 13999.99, 'discountPercentage': 16.35, 'discountedTotal': 11710.99, 'thumbnail': 'https://cdn.dummyjson.com/products/images/mens-watches/Rolex%20Submariner%20Watch/thumbnail.png'}, {'id': 125, 'title': 'Oppo A57', 'price': 249.99, 'quantity': 5, 'total': 1249.95, 'discountPercentage': 16.54, 'discountedTotal': 1043.21, 'thumbnail': 'https://cdn.dummyjson.com/products/images/smartphones/Oppo%20A57/thumbnail.png'}, {'id': 55, 'title': 'Egg Slicer', 'price': 6.99, 'quantity': 2, 'total': 13.98, 'discountPercentage': 16.04, 'discountedTotal': 11.74, 'thumbnail': 'https://cdn.dummyjson.com/products/images/kitchen-accessories/Egg%20Slicer/thumbnail.png'}, {'id': 62, 'title': 'Ice Cube Tray', 'price': 5.99, 'quantity': 2, 'total': 11.98, 'discountPercentage': 8.25, 'discountedTotal': 10.99, 'thumbnail': 'https://cdn.dummyjson.com/products/images/kitchen-accessories/Ice%20Cube%20Tray/thumbnail.png'}, {'id': 132, 'title': 'Samsung Galaxy S8', 'price': 499.99, 'quantity': 3, 'total': 1499.97, 'discountPercentage': 8.84, 'discountedTotal': 1367.37, 'thumbnail': 'https://cdn.dummyjson.com/products/images/smartphones/Samsung%20Galaxy%20S8/thumbnail.png'}]",16775.87,14144.3,108,5,13,13.0,16775.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
4,"[{'id': 187, 'title': 'Golden Shoes Woman', 'price': 49.99, 'quantity': 5, 'total': 249.95000000000002, 'discountPercentage': 1.64, 'discountedTotal': 245.85, 'thumbnail': 'https://cdn.dummyjson.com/products/images/womens-shoes/Golden%20Shoes%20Woman/thumbnail.png'}, {'id': 40, 'title': 'Strawberry', 'price': 3.99, 'quantity': 5, 'total': 19.950000000000003, 'discountPercentage': 4.6, 'discountedTotal': 19.03, 'thumbnail': 'https://cdn.dummyjson.com/products/images/groceries/Strawberry/thumbnail.png'}, {'id': 156, 'title': 'Green and Black Glasses', 'price': 34.99, 'quantity': 5, 'total': 174.95000000000002, 'discountPercentage': 4.34, 'discountedTotal': 167.36, 'thumbnail': 'https://cdn.dummyjson.com/products/images/sunglasses/Green%20and%20Black%20Glasses/thumbnail.png'}, {'id': 62, 'title': 'Ice Cube Tray', 'price': 5.99, 'quantity': 2, 'total': 11.98, 'discountPercentage': 8.25, 'discountedTotal': 10.99, 'thumbnail': 'https://cdn.dummyjson.com/products/images/kitchen-accessories/Ice%20Cube%20Tray/thumbnail.png'}]",456.83,443.23,87,4,17,17.0,456.83000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
5,"[{'id': 108, 'title': 'iPhone 12 Silicone Case with MagSafe Plum', 'price': 29.99, 'quantity': 2, 'total': 59.98, 'discountPercentage': 14.68, 'discountedTotal': 51.17, 'thumbnail': 'https://cdn.dummyjson.com/products/images/mobile-accessories/iPhone%2012%20Silicone%20Case%20with%20MagSafe%20Plum/thumbnail.png'}, {'id': 138, 'title': 'Baseball Ball', 'price': 8.99, 'quantity': 5, 'total': 44.95, 'discountPercentage': 18.49, 'discountedTotal': 36.64, 'thumbnail': 'https://cdn.dummyjson.com/products/images/sports-accessories/Baseball%20Ball/thumbnail.png'}, {'id': 157, 'title': 'Party Glasses', 'price': 19.99, 'quantity': 2, 'total': 39.98, 'discountPercentage': 19.17, 'discountedTotal': 32.32, 'thumbnail': 'https://cdn.dummyjson.com/products/images/sunglasses/Party%20Glasses/thumbnail.png'}, {'id': 8, 'title': ""Dior J'adore"", 'price': 89.99, 'quantity': 3, 'total': 269.96999999999997, 'discountPercentage': 10.79, 'discountedTotal': 240.84, 'thumbnail': ""https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/thumbnail.png""}, {'id': 80, 'title': 'Huawei Matebook X Pro', 'price': 1399.99, 'quantity': 5, 'total': 6999.95, 'discountPercentage': 9.99, 'discountedTotal': 6300.65, 'thumbnail': 'https://cdn.dummyjson.com/products/images/laptops/Huawei%20Matebook%20X%20Pro/thumbnail.png'}, {'id': 28, 'title': 'Ice Cream', 'price': 5.49, 'quantity': 3, 'total': 16.47, 'discountPercentage': 10, 'discountedTotal': 14.82, 'thumbnail': 'https://cdn.dummyjson.com/products/images/groceries/Ice%20Cream/thumbnail.png'}]",7431.3,6676.44,134,6,20,20.0,7431.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'id': 8, 'title': ""Dior J'adore"", 'description': ""J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication."", 'category': 'fragrances', 'price': 89.99, 'discountPercentage': 14.72, 'rating': 3.8, 'stock': 98, 'tags': ['fragrances', 'perfumes'], 'brand': 'Dior', 'sku': 'FRA-DIO-DIO-008', 'weight': 4, 'warrantyInformation': '1 week warranty', 'shippingInformation': 'Ships in 2 weeks', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 5, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Nicholas Bailey', 'reviewerEmail': 'nicholas.bailey@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great value for money!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Penelope Harper', 'reviewerEmail': 'penelope.harper@x.dummyjson.com'}, {'rating': 4, 'comment': 'Great product!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Emma Miller', 'reviewerEmail': 'emma.miller@x.dummyjson.com'}], 'returnPolicy': '7 days return policy', 'minimumOrderQuantity': 10, 'images': [""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/1.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/2.webp"", ""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/3.webp""], 'thumbnail': ""https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp"", 'dimensions.width': 27.67, 'dimensions.height': 28.28, 'dimensions.depth': 11.83, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '1445086097250', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}, {'id': 28, 'title': 'Ice Cream', 'description': 'Creamy and delicious ice cream, available in various flavors for a delightful treat.', 'category': 'groceries', 'price': 5.49, 'discountPercentage': 8.69, 'rating': 3.39, 'stock': 27, 'tags': ['desserts'], 'brand': nan, 'sku': 'GRO-BRD-CRE-028', 'weight': 1, 'warrantyInformation': '1 month warranty', 'shippingInformation': 'Ships in 2 weeks', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 5, 'comment': 'Very pleased!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Elijah Cruz', 'reviewerEmail': 'elijah.cruz@x.dummyjson.com'}, {'rating': 4, 'comment': 'Excellent quality!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Jace Smith', 'reviewerEmail': 'jace.smith@x.dummyjson.com'}, {'rating': 5, 'comment': 'Highly impressed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Sadie Morales', 'reviewerEmail': 'sadie.morales@x.dummyjson.com'}], 'returnPolicy': 'No return policy', 'minimumOrderQuantity': 42, 'images': ['https://cdn.dummyjson.com/product-images/groceries/ice-cream/1.webp', 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/2.webp', 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/3.webp', 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/4.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp', 'dimensions.width': 14.83, 'dimensions.height': 15.07, 'dimensions.depth': 24.2, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '0788954559076', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
6,"[{'id': 172, 'title': ""Blue Women's Handbag"", 'price': 49.99, 'quantity': 5, 'total': 249.95000000000002, 'discountPercentage': 8.08, 'discountedTotal': 229.75, 'thumbnail': ""https://cdn.dummyjson.com/products/images/womens-bags/Blue%20Women's%20Handbag/thumbnail.png""}, {'id': 112, 'title': 'TV Studio Camera Pedestal', 'price': 499.99, 'quantity': 3, 'total': 1499.97, 'discountPercentage': 15.69, 'discountedTotal': 1264.62, 'thumbnail': 'https://cdn.dummyjson.com/products/images/mobile-accessories/TV%20Studio%20Camera%20Pedestal/thumbnail.png'}, {'id': 97, 'title': 'Rolex Datejust', 'price': 10999.99, 'quantity': 3, 'total': 32999.97, 'discountPercentage': 10.58, 'discountedTotal': 29508.57, 'thumbnail': 'https://cdn.dummyjson.com/products/images/mens-watches/Rolex%20Datejust/thumbnail.png'}, {'id': 128, 'title': 'Realme C35', 'price': 149.99, 'quantity': 3, 'total': 449.97, 'discountPercentage': 3.97, 'discountedTotal': 432.11, 'thumbnail': 'https://cdn.dummyjson.com/products/images/smartphones/Realme%20C35/thumbnail.png'}]",35199.86,31435.05,150,4,14,14.0,35199.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
7,"[{'id': 167, 'title': '300 Touring', 'price': 28999.99, 'quantity': 5, 'total': 144999.95, 'discountPercentage': 11.78, 'discountedTotal': 127918.96, 'thumbnail': 'https://cdn.dummyjson.com/products/images/vehicle/300%20Touring/thumbnail.png'}, {'id': 111, 'title': 'Selfie Stick Monopod', 'price': 12.99, 'quantity': 4, 'total': 51.96, 'discountPercentage': 10.98, 'discountedTotal': 46.25, 'thumbnail': 'https://cdn.dummyjson.com/products/images/mobile-accessories/Selfie%20Stick%20Monopod/thumbnail.png'}, {'id': 129, 'title': 'Realme X', 'price': 299.99, 'quantity': 2, 'total': 599.98, 'discountPercentage': 10.13, 'discountedTotal': 539.2, 'thumbnail': 'https://cdn.dummyjson.com/products/images/smartphones/Realme%20X/thumbnail.png'}]",145651.89,128504.41,86,3,11,11.0,145651.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
8,"[{'id': 117, 'title': 'Sportbike Motorcycle', 'price': 7499.99, 'quantity': 2, 'total': 14999.98, 'discountPercentage': 19.83, 'discountedTotal': 12025.48, 'thumbnail': 'https://cdn.dummyjson.com/products/images/motorcycle/Sportbike%20Motorcycle/thumbnail.png'}, {'id': 18, 'title': 'Cat Food', 'price': 8.99, 'quantity': 4, 'total': 35.96, 'discountPercentage': 1.15, 'discountedTotal': 35.55, 'thumbnail': 'https://cdn.dummyjson.com/products/images/groceries/Cat%20Food/thumbnail.png'}, {'id': 105, 'title': 'Apple MagSafe Battery Pack', 'price': 99.99, 'quantity': 5, 'total': 499.95, 'discountPercentage': 7.14, 'discountedTotal': 464.25, 'thumbnail': 'https://cdn.dummyjson.com/products/images/mobile-accessories/Apple%20MagSafe%20Battery%20Pack/thumbnail.png'}, {'id': 6, 'title': 'Calvin Klein CK One', 'price': 49.99, 'quantity': 3, 'total': 149.97, 'discountPercentage': 5.67, 'discountedTotal': 141.47, 'thumbnail': 'https://cdn.dummyjson.com/products/images/fragrances/Calvin%20Klein%20CK%20One/thumbnail.png'}]",15685.86,12666.75,23,4,14,14.0,15685.859999999999,23.0,Chloe,Morales,,39.0,female,chloe.morales@x.dummyjson.com,+92 468-541-7133,chloem,chloempass,1985-4-21,https://dummyjson.com/icon/chloem/128,O+,185.07,63.97,Brown,66.78.20.21,fc:f:29:e1:37:b8,Syracuse University,913-597,938-883-163,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.93 Safari/537.36",user,Red,Kinky,401 Fourth Street,Dallas,New Jersey,NJ,54972,-30.190759,-58.705979,United States,05/28,3150496938377346,American Express,PKR,P7YLGOOBWBD1SRWDWSFO3PZ0,Sales,Grady LLC,Database Administrator,269 Third Street,Houston,North Carolina,NC,10385,40.098115,-1.762972,United States,Bitcoin,0xb9fc2fe63b2a6c003f1c324c3bfa53259162181a,Ethereum (ERC20),"[{'id': 6, 'title': 'Calvin Klein CK One', 'description': ""CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear."", 'category': 'fragrances', 'price': 49.99, 'discountPercentage': 1.89, 'rating': 4.37, 'stock': 29, 'tags': ['fragrances', 'perfumes'], 'brand': 'Calvin Klein', 'sku': 'FRA-CAL-CAL-006', 'weight': 7, 'warrantyInformation': '1 week warranty', 'shippingInformation': 'Ships overnight', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 2, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Layla Young', 'reviewerEmail': 'layla.young@x.dummyjson.com'}, {'rating': 4, 'comment': 'Fast shipping!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Daniel Cook', 'reviewerEmail': 'daniel.cook@x.dummyjson.com'}, {'rating': 3, 'comment': 'Not as described!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Jacob Cooper', 'reviewerEmail': 'jacob.cooper@x.dummyjson.com'}], 'returnPolicy': '90 days return policy', 'minimumOrderQuantity': 9, 'images': ['https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/1.webp', 'https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/2.webp', 'https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/3.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp', 'dimensions.width': 29.36, 'dimensions.height': 27.76, 'dimensions.depth': 20.72, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '2451534060749', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}, {'id': 18, 'title': 'Cat Food', 'description': 'Nutritious cat food formulated to meet the dietary needs of your feline friend.', 'category': 'groceries', 'price': 8.99, 'discountPercentage': 9.58, 'rating': 3.13, 'stock': 46, 'tags': ['pet supplies', 'cat food'], 'brand': nan, 'sku': 'GRO-BRD-FOO-018', 'weight': 10, 'warrantyInformation': '1 year warranty', 'shippingInformation': 'Ships overnight', 'availabilityStatus': 'In Stock', 'reviews': [{'rating': 3, 'comment': 'Would not recommend!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Noah Lewis', 'reviewerEmail': 'noah.lewis@x.dummyjson.com'}, {'rating': 3, 'comment': 'Very unhappy with my purchase!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ruby Andrews', 'reviewerEmail': 'ruby.andrews@x.dummyjson.com'}, {'rating': 2, 'comment': 'Very disappointed!', 'date': '2025-04-30T09:41:02.053Z', 'reviewerName': 'Ethan Thompson', 'reviewerEmail': 'ethan.thompson@x.dummyjson.com'}], 'returnPolicy': 'No return policy', 'minimumOrderQuantity': 18, 'images': ['https://cdn.dummyjson.com/product-images/groceries/cat-food/1.webp'], 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp', 'dimensions.width': 18.08, 'dimensions.height': 9.26, 'dimensions.depth': 21.86, 'meta.createdAt': '2025-04-30T09:41:02.053Z', 'meta.updatedAt': '2025-04-30T09:41:02.053Z', 'meta.barcode': '1483991328610', 'meta.qrCode': 'https://cdn.dummyjson.com/public/qr-code.png'}]"
9,"[{'id': 178, 'title': 'Corset Leather With Skirt', 'price': 89.99, 'quantity': 2, 'total': 179.98, 'discountPercentage': 12.59, 'discountedTotal': 157.32, 'thumbnail': 'https://cdn.dummyjson.com/products/images/womens-dresses/Corset%20Leather%20With%20Skirt/thumbnail.png'}, {'id': 191, 'title': 'Rolex Cellini Moonphase', 'price': 15999.99, 'quantity': 4, 'total': 63999.96, 'discountPercentage': 3.26, 'discountedTotal': 61913.56, 'thumbnail': 'https://cdn.dummyjson.com/products/images/womens-watches/Rolex%20Cellini%20Moonphase/thumbnail.png'}, {'id': 47, 'title': 'Table Lamp', 'price': 49.99, 'quantity': 2, 'total': 99.98, 'discountPercentage': 13.74, 'discountedTotal': 86.24, 'thumbnail': 'https://cdn.dummyjson.com/products/images/home-decoration/Table%20Lamp/thumbnail.png'}, {'id': 134, 'title': 'Vivo S1', 'price': 249.99, 'quantity': 5, 'total': 1249.95, 'discountPercentage': 5.64, 'discountedTotal': 1179.45, 'thumbnail': 'https://cdn.dummyjson.com/products/images/smartphones/Vivo%20S1/thumbnail.png'}]",65529.87,63336.57,194,4,13,13.0,65529.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
10,"[{'id': 190, 'title': 'IWC Ingenieur Automatic Steel', 'price': 4999.99, 'quantity': 5, 'total': 24999.949999999997, 'discountPercentage': 12.34, 'discountedTotal': 21914.96, 'thumbnail': 'https://cdn.dummyjson.com/products/images/womens-watches/IWC%20Ingenieur%20Automatic%20Steel/thumbnail.png'}, {'id': 94, 'title': 'Longines Master Collection', 'price': 1499.99, 'quantity': 3, 'total': 4499.97, 'discountPercentage': 16.44, 'discountedTotal': 3760.17, 'thumbnail': 'https://cdn.dummyjson.com/products/images/mens-watches/Longines%20Master%20Collection/thumbnail.png'}]",29499.92,25675.13,160,2,8,8.0,29499.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
